class,subject,file,why
dead-by-table,cold_pilgrim,cold_pilgrim_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_w.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,static_caller,static_caller_walk_sw.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,stormcult,stormcult_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,vale_mourner,vale_mourner_walk.png,MOB_IDLE_ONLY_LOCOMOTION (it glides; no walk plays)
dead-by-table,bandit_scout,bandit_scout_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,bandit_scout,bandit_scout_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_druid,elf_druid_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,elf_ranger,elf_ranger_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc,orc_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,orc_rogue,orc_rogue_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,royal_knight,royal_knight_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton,skeleton_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,skeleton_rogue,skeleton_rogue_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,spider,spider_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,stone_broken,stone_broken_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,vow_sentinel,vow_sentinel_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_s.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_se.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_e.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_ne.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_n.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_nw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_w.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
dead-by-table,zombie,zombie_walk_sw.png,MOB_FLAT_WALK_LOCOMOTION (flat walk plays; dir set dead)
